#{"t_start": 1678577399.2275305, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,failure_shared_disjointness,episode_failure_shared_disjointness,shared_counter,episode_shared_counter,dpp_counter,episode_dpp_counter,compactness,throughput,available_slots_working,available_slots_backup
25,50,0.155022,0.42,0.38306924882629106,0.42,"(0.42,)",0.0,0.0,0.42,0.42,0.24,0.24,0.34,0.34,0.24,0.24,4.42226190601357,2192.165530308933,8056,8896
4,50,0.333067,0.52,0.4480792079207921,0.47,"(0.52,)",0.0,0.0,0.47,0.52,0.3,0.36,0.23,0.12,0.3,0.36,3.507713571051993,3651.039372594688,7185,8618
28,50,0.532125,0.3,0.39733889903469866,0.41333333333333333,"(0.3,)",0.0,0.0,0.41333333333333333,0.3,0.38,0.54,0.20666666666666667,0.16,0.38,0.54,2.812968348641833,5052.203681302037,5950,8265
1,50,0.709152,0.52,0.44968429360694556,0.44,"(0.52,)",0.0,0.0,0.44,0.52,0.39,0.42,0.17,0.06,0.39,0.42,2.3521599143788325,6311.279762547381,5315,8141
-12,50,0.870284,0.64,0.48899671310064174,0.48,"(0.64,)",0.028,0.14,0.452,0.5,0.392,0.4,0.144,0.04,0.376,0.32,2.020087122131781,7254.843108820972,5216,8062
-18,50,1.02332,0.72,0.525383830722151,0.52,"(0.72,)",0.056666666666666664,0.2,0.4633333333333333,0.52,0.38,0.32,0.13333333333333333,0.08,0.3466666666666667,0.2,1.8134381737448786,7874.907515381487,5239,8042
-21,50,1.176353,0.72,0.5569946444977256,0.5485714285714286,"(0.72,)",0.07714285714285714,0.2,0.4714285714285714,0.52,0.38285714285714284,0.4,0.11714285714285715,0.02,0.3342857142857143,0.26,1.6610115317888867,8304.14523125876,5195,8026
1,50,1.347382,0.56,0.5600569992281355,0.55,"(0.56,)",0.1,0.26,0.45,0.3,0.3875,0.42,0.12,0.14,0.33,0.3,1.5324911587773509,8711.480459190121,5103,8019
-1,50,1.530432,0.54,0.5582310189105278,0.5488888888888889,"(0.54,)",0.10666666666666667,0.16,0.44222222222222224,0.38,0.4,0.5,0.11333333333333333,0.06,0.3377777777777778,0.4,1.4195381956465647,9075.88124647791,5293,8080
-9,50,1.696464,0.64,0.5682109035065267,0.558,"(0.64,)",0.116,0.2,0.442,0.44,0.396,0.36,0.112,0.1,0.33,0.26,1.3377590808722652,9371.682074346689,5315,8004
