#{"t_start": 1678585344.5973747, "env_id": "DeepRMSAKSP-v0"}
r,l,t,episode_service_blocking_rate,bit_rate_blocking_rate,failure,episode_failure,failure_slots,episode_failure_slots,failure_disjointness,episode_failure_disjointness,failure_shared_disjointness,episode_failure_shared_disjointness,shared_counter,episode_shared_counter,dpp_counter,episode_dpp_counter,compactness,throughput,available_slots_working,available_slots_backup
69,50,0.205046,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.62,0.62,0.38,0.38,0.62,0.62,2.933967451599435,3393.761028177732,7668,8688
56,50,0.449086,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.75,0.88,0.25,0.12,0.75,0.88,2.1811898409521593,6170.666149772916,5997,7998
55,50,0.695156,0.0,0.0,0.0,"(0.0,)",0.0,0.0,0.0,0.0,0.8,0.9,0.2,0.1,0.8,0.9,1.7174744458874942,8761.039830408396,4578,7437
30,50,0.938819,0.22,0.06708760852407261,0.055,"(0.22,)",0.055,0.22,0.0,0.0,0.785,0.74,0.16,0.04,0.785,0.74,1.408799155084763,11099.339199840057,3837,7226
25,50,1.191896,0.26,0.11892314916262325,0.096,"(0.26,)",0.096,0.26,0.0,0.0,0.772,0.72,0.132,0.02,0.772,0.72,1.198271221681634,13105.234331748283,3436,7084
10,50,1.446934,0.4,0.17592132451023984,0.14666666666666667,"(0.4,)",0.14666666666666667,0.4,0.0,0.0,0.7433333333333333,0.6,0.11,0.0,0.7433333333333333,0.6,1.0582481974593576,14544.026164971603,3603,7138
16,50,1.677985,0.4,0.22089766284984427,0.18285714285714286,"(0.4,)",0.18285714285714286,0.4,0.0,0.0,0.7057142857142857,0.48,0.11142857142857143,0.12,0.7057142857142857,0.48,0.9605951539431928,15481.928336843268,3397,6981
21,50,1.919039,0.3,0.24119777544679083,0.1975,"(0.3,)",0.1975,0.3,0.0,0.0,0.7025,0.68,0.1,0.02,0.7025,0.68,0.8741330980926588,16505.439896077118,3054,6881
15,50,2.157093,0.36,0.2639182895850974,0.21555555555555556,"(0.36,)",0.21555555555555556,0.36,0.0,0.0,0.6933333333333334,0.62,0.09111111111111111,0.02,0.6933333333333334,0.62,0.7957866907657904,17478.56496885881,3027,6906
16,50,2.401398,0.34,0.2782025851036601,0.228,"(0.34,)",0.228,0.34,0.0,0.0,0.69,0.66,0.082,0.0,0.69,0.66,0.7413215303862843,18162.680438245476,3182,6990
-1,50,2.629449,0.52,0.3090412305557162,0.2545454545454545,"(0.52,)",0.2545454545454545,0.52,0.0,0.0,0.6690909090909091,0.46,0.07636363636363637,0.02,0.6690909090909091,0.46,0.7063186863506904,18600.099918577507,3122,6942
4,50,2.864502,0.46,0.32786213099142947,0.27166666666666667,"(0.46,)",0.27166666666666667,0.46,0.0,0.0,0.6583333333333333,0.54,0.07,0.0,0.6583333333333333,0.54,0.6700477197522097,19067.494676770137,3289,7052
13,50,3.095547,0.38,0.33843081032729233,0.28,"(0.38,)",0.28,0.38,0.0,0.0,0.6538461538461539,0.6,0.06615384615384616,0.02,0.6538461538461539,0.6,0.6366266840740811,19493.39558741582,3192,7056
-1,50,3.318604,0.52,0.35589300767811166,0.29714285714285715,"(0.52,)",0.29714285714285715,0.52,0.0,0.0,0.64,0.46,0.06285714285714286,0.02,0.64,0.46,0.6114501417858234,19838.136576526907,3452,7129
6,50,3.552656,0.44,0.36712677850923764,0.30666666666666664,"(0.44,)",0.30666666666666664,0.44,0.0,0.0,0.6346666666666667,0.56,0.058666666666666666,0.0,0.6346666666666667,0.56,0.5861890577145127,20156.619951450153,3459,7206
17,50,3.78871,0.34,0.3680268517872972,0.30875,"(0.34,)",0.30875,0.34,0.0,0.0,0.635,0.64,0.05625,0.02,0.635,0.64,0.5673781459530741,20404.100578980804,3218,7126
0,50,4.048765,0.5,0.37998153346825714,0.32,"(0.5,)",0.32,0.5,0.0,0.0,0.6270588235294118,0.5,0.052941176470588235,0.0,0.6270588235294118,0.5,0.5435971570362756,20670.020242284583,3607,7290
23,50,4.303828,0.28,0.37933863880997337,0.31777777777777777,"(0.28,)",0.31777777777777777,0.28,0.0,0.0,0.6311111111111111,0.7,0.051111111111111114,0.02,0.6311111111111111,0.7,0.5296219139087738,20811.367324931187,3430,7231
15,50,4.553882,0.36,0.38295201593332107,0.32,"(0.36,)",0.32,0.36,0.0,0.0,0.6305263157894737,0.62,0.049473684210526316,0.02,0.6305263157894737,0.62,0.5154375351528195,20947.464488072885,3669,7319
30,50,4.805938,0.2,0.37640311087455613,0.314,"(0.2,)",0.314,0.2,0.0,0.0,0.639,0.8,0.047,0.0,0.639,0.8,0.5007077660217054,21092.74829745877,3536,7281
